placeID,corresp,mentions
l2479,0,1
l248,2,13
l2480,0,51
l2481,0,247
l2482,0,2
l2483,0,38
l2484,0,5
l2485,0,8
l2486,0,11
l2487,0,1
l2488,0,2
l2489,0,9
l249,1,1
l2495,0,7
l2499,0,1
l25,1,3
l250,1,5
l2500,0,1
l2501,0,2
l2506,0,5
l2507,0,37
l2508,0,1
l251,1,2
l2510,0,754
l2511,0,7
l2514,0,1
l2515,0,2
l252,0,11
l2520,0,31
l2522,0,5
l2523,0,9
l2524,0,218
l2525,0,1
l2526,0,1
l2527,0,2
l2528,0,64
l2529,0,71
l253,1,3
l2530,0,21
l2531,0,36
l2532,0,5
l2534,0,6
l2536,0,44
l2541,0,1
l2542,0,72
l2545,0,24
l2547,0,1
l2548,0,13
l2549,0,43
l2550,0,7
l2551,0,4
l2552,0,2
l2553,0,2
l2554,0,2
l2556,0,36
l2557,0,104
l2559,0,3
l256,1,3
l2561,0,2
l2562,0,69
l2563,0,1
l2566,0,5
l2568,0,3
l2569,0,1
l257,467,1232
l2570,0,2
l2571,0,2
l2572,0,6
l2573,0,9
l2574,0,22
l2575,0,3
l2576,0,6
l2577,0,1
l2579,0,1
l258,0,5
l2580,0,4
l2581,0,23
l2582,0,28
l2583,0,1
l2584,0,3
l2585,0,4
l2586,0,7
l2587,0,1
l2588,0,3
l2589,0,58
l2590,0,21
l2591,0,1
l2592,0,25
l2593,0,4
l2594,0,1
l2595,0,11
l2596,0,2
l2597,0,2
l2598,0,2
l2599,0,2
l26,1,16
l260,74,133
l2600,0,11
l2601,0,5
l2602,0,1
l2603,0,1
l2604,0,8
l2605,0,6
l2606,0,4
l2607,0,1
l2608,0,1
l261,1,9
l2610,0,7
l2611,0,4
l2612,0,9
l2614,0,5
l2615,0,2
l2616,0,6
l2618,0,5
l2619,0,13
l262,2,2
l2620,0,1
l2625,0,1
l2626,0,3
l2627,0,3
l2629,0,1
l2631,0,1
l2632,0,6
l2633,0,5
l2634,0,1
l2635,0,2
l2636,0,18
l2638,0,2
l264,1,1
l2640,0,1
l2641,0,1
l2642,0,1
